time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-22 19:03:00,3116,"3116",80.0,0.0,2056,2900,1,00:00
2026-05-22 19:03:01,3116,"3116 3136",13.6,0.1,23820,35596,2,00:00
2026-05-22 19:03:02,3116,"3116 3136",6.8,0.1,23820,35596,2,00:01
2026-05-22 19:03:03,3116,"3116 3136",4.8,0.1,23868,35596,2,00:03
2026-05-22 19:03:04,3116,"3116 3136",3.6,0.1,23868,35596,2,00:04
2026-05-22 19:03:05,3116,"3116 3136",2.8,0.1,23868,35596,2,00:05
2026-05-22 19:03:06,3116,"3116 3136",2.6,0.1,23868,35596,2,00:06
2026-05-22 19:03:07,3116,"3116 3136",2.2,0.1,23868,35596,2,00:07
2026-05-22 19:03:08,3116,"3116 3136",1.8,0.1,23868,35596,2,00:08
2026-05-22 19:03:09,3116,"3116 3136",1.7,0.1,23868,35596,2,00:09
2026-05-22 19:03:10,3116,"3116 3136",1.5,0.1,23868,35596,2,00:10
2026-05-22 19:03:11,3116,"3116 3136",1.5,0.1,23868,35596,2,00:11
2026-05-22 19:03:12,3116,"3116 3136",1.5,0.1,23868,35596,2,00:12
2026-05-22 19:03:13,3116,"3116 3136",1.4,0.1,23868,35596,2,00:13
2026-05-22 19:03:14,3116,"3116 3136",1.2,0.1,23868,35596,2,00:14
2026-05-22 19:03:15,3116,"3116 3136",1.4,0.1,23868,35596,2,00:15
2026-05-22 19:03:16,3116,"3116 3136",1.2,0.1,23868,35596,2,00:16
2026-05-22 19:03:17,3116,"3116 3136",1.2,0.1,23868,35596,2,00:17
2026-05-22 19:03:18,3116,"3116 3136",1.3,0.1,23868,35596,2,00:18
2026-05-22 19:03:19,3116,"3116 3136",1.2,0.1,23868,35596,2,00:19
2026-05-22 19:03:20,3116,"3116 3136",1.1,0.1,23868,35596,2,00:20
2026-05-22 19:03:21,3116,"3116 3136",1.3,0.1,23868,35596,2,00:21
2026-05-22 19:03:22,3116,"3116 3136",1.2,0.1,23868,35596,2,00:22
2026-05-22 19:03:23,3116,"3116 3136",1.2,0.1,23868,35596,2,00:23
2026-05-22 19:03:24,3116,"3116 3136",1.4,0.1,23868,35596,2,00:24
2026-05-22 19:03:25,3116,"3116 3136",1.3,0.1,23868,35596,2,00:25
2026-05-22 19:03:26,3116,"3116 3136",1.3,0.1,23868,35596,2,00:26
