time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-22 19:16:36,5550,"5550 5552",70.8,0.1,23772,35596,2,00:00
2026-05-22 19:16:38,5550,"5550 5552",7.1,0.1,23772,35596,2,00:02
2026-05-22 19:16:40,5550,"5550 5552",4.8,0.2,49568,208696,4,00:04
2026-05-22 19:16:42,5550,"5550 5552",3.4,0.3,56508,234300,4,00:06
2026-05-22 19:16:44,5550,"5550 5552",3.0,0.4,75172,234300,4,00:08
2026-05-22 19:16:46,5550,"5550 5552",2.9,0.5,100776,259904,4,00:10
2026-05-22 19:16:48,5550,"5550 5552",2.4,0.5,100776,259904,4,00:12
2026-05-22 19:16:50,5550,"5550 5552",2.4,0.7,126380,285508,4,00:14
2026-05-22 19:16:52,5550,"5550 5552",2.3,0.9,151984,311112,4,00:16
