time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-25 18:03:43,2402,"2402 2404",22.8,0.1,23776,35596,2,00:00
2026-05-25 18:03:44,2402,"2402 2404",9.2,0.1,23776,35596,2,00:01
2026-05-25 18:03:45,2402,"2402 2404",6.2,0.1,23824,35596,2,00:02
2026-05-25 18:03:46,2402,"2402 2404",4.5,0.1,23824,35596,2,00:03
2026-05-25 18:03:47,2402,"2402 2404",3.4,0.1,23824,35596,2,00:04
2026-05-25 18:03:48,2402,"2402 2404",3.1,0.1,23824,35596,2,00:05
2026-05-25 18:03:49,2402,"2402 2404",2.5,0.1,23824,35596,2,00:06
2026-05-25 18:03:50,2402,"2402 2404",2.2,0.1,23824,35596,2,00:07
2026-05-25 18:03:51,2402,"2402 2404",2.2,0.1,23824,35596,2,00:08
2026-05-25 18:03:52,2402,"2402 2404",2.0,0.1,23824,35596,2,00:09
2026-05-25 18:03:53,2402,"2402 2404",1.8,0.1,23824,35596,2,00:10
2026-05-25 18:03:54,2402,"2402 2404",1.8,0.1,23824,35596,2,00:11
2026-05-25 18:03:55,2402,"2402 2404",1.6,0.1,23824,35596,2,00:12
2026-05-25 18:03:56,2402,"2402 2404",1.5,0.1,23824,35596,2,00:13
2026-05-25 18:03:57,2402,"2402 2404",1.5,0.1,23824,35596,2,00:14
2026-05-25 18:03:58,2402,"2402 2404",1.4,0.1,23824,35596,2,00:15
2026-05-25 18:03:59,2402,"2402 2404",1.3,0.1,23824,35596,2,00:16
2026-05-25 18:04:00,2402,"2402 2404",1.4,0.1,23824,35596,2,00:17
2026-05-25 18:04:01,2402,"2402 2404",1.3,0.1,23824,35596,2,00:18
2026-05-25 18:04:02,2402,"2402 2404",1.2,0.1,23824,35596,2,00:19
2026-05-25 18:04:03,2402,"2402 2404",1.4,0.1,23824,35596,2,00:20
2026-05-25 18:04:04,2402,"2402 2404",1.3,0.1,23824,35596,2,00:21
2026-05-25 18:04:05,2402,"2402 2404",1.3,0.1,23824,35596,2,00:22
2026-05-25 18:04:06,2402,"2402 2404",1.4,0.1,23824,35596,2,00:24
2026-05-25 18:04:07,2402,"2402 2404",1.2,0.1,23824,35596,2,00:25
2026-05-25 18:04:08,2402,"2402 2404",1.2,0.1,23824,35596,2,00:26
2026-05-25 18:04:09,2402,"2402 2404",1.4,0.1,23824,35596,2,00:27
2026-05-25 18:04:10,2402,"2402 2404",1.3,0.1,23824,35596,2,00:28
2026-05-25 18:04:11,2402,"2402 2404",1.3,0.1,23824,35596,2,00:29
2026-05-25 18:04:13,2402,"2402 2404",1.4,0.1,23824,35596,2,00:30
2026-05-25 18:04:14,2402,"2402 2404",1.3,0.1,23824,35596,2,00:31
2026-05-25 18:04:15,2402,"2402 2404",1.3,0.1,23824,35596,2,00:32
2026-05-25 18:04:16,2402,"2402 2404",1.3,0.1,23824,35596,2,00:33
