time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-25 19:48:51,2528,"2528 2530",49.6,0.1,23864,35596,2,00:00
2026-05-25 19:48:53,2528,"2528 2530",7.1,0.1,23864,35596,2,00:02
2026-05-25 19:48:55,2528,"2528 2530",4.9,0.2,49660,208696,4,00:04
2026-05-25 19:48:57,2528,"2528 2530",4.2,0.4,75264,234300,4,00:06
2026-05-25 19:48:59,2528,"2528 2530",3.2,0.4,75264,234300,4,00:08
2026-05-25 19:49:01,2528,"2528 2530",3.0,0.6,100868,259904,4,00:10
2026-05-25 19:49:03,2528,"2528 2530",2.9,0.7,126472,285508,4,00:12
