time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-22 18:59:56,2507,"2507 2509",47.5,0.1,23812,35596,2,00:00
2026-05-22 18:59:58,2507,"2507 2509",6.0,0.1,23860,35596,2,00:02
2026-05-22 19:00:00,2507,"2507 2509",3.2,0.1,23860,35596,2,00:04
2026-05-22 19:00:02,2507,"2507 2509",2.3,0.1,23860,35596,2,00:06
2026-05-22 19:00:04,2507,"2507 2509",1.8,0.1,23860,35596,2,00:08
2026-05-22 19:00:06,2507,"2507 2509",1.5,0.1,23860,35596,2,00:10
2026-05-22 19:00:08,2507,"2507 2509",1.4,0.1,23860,35596,2,00:12
2026-05-22 19:00:10,2507,"2507 2509",1.2,0.1,23860,35596,2,00:14
2026-05-22 19:00:12,2507,"2507 2509",1.2,0.1,23860,35596,2,00:16
2026-05-22 19:00:14,2507,"2507 2509",1.3,0.1,23860,35596,2,00:18
2026-05-22 19:00:16,2507,"2507 2509",1.1,0.1,23860,35596,2,00:20
2026-05-22 19:00:18,2507,"2507 2509",1.2,0.1,23860,35596,2,00:22
2026-05-22 19:00:20,2507,"2507 2509",1.3,0.1,23860,35596,2,00:24
2026-05-22 19:00:22,2507,"2507 2509",1.2,0.1,23860,35596,2,00:26
2026-05-22 19:00:24,2507,"2507 2509",1.2,0.1,23860,35596,2,00:28
